Number,File_name,NOA,NOAC,Edges,Diameter,CW,DeltaSJX,CNC,dC_avg,dC_max,Separability,Sequentiality,Depth,CH,CFC,CYC,TS,FI,FO,F_in,F_out,F_(I+O),PL,PV,PD, DFC,IC,OC,Ma,Mb,Ms,Me,output redundancy,output lost,input missing,nonportable,partially_portable
29,LoadPartsTable,10,22,12,12,28,0.091,1,0,0,0.8,0.833,3,0,12,0,0,1,3,9,9,18,20.265,95.098,4.5,0.667,1,0.667,0.866666667,0.863636364,0.833333333,0.929292929,1,0,0,1,0
30,LoanModification,19,39,21,18,47,0.05,1,3,3,0.263,0.762,5,0,33,0,0,1,5,15,12,27,20.265,148.986,6.75,1,1,1,1,0.981481481,1,0.983539095,0,0,0,1,0
31,LoanProcess,11,18,16,10,24,0.076,1.067,3,3,0.231,0.375,4,0,23,0,0,1,2,9,7,16,20.265,72.908,4,1,1,1,0.967777778,0.376114082,0.907407407,0.477520301,0,0,0,1,0
32,LoanProcessWithSwimlanes,13,20,22,15,28,0.081,1.294,5,7,0,0.182,3,0.5,105,0,6,1,2,6,7,13,23.51,66.439,4.333,0.667,1,0.667,0.965811966,0.913793103,0.944444444,0.961685824,1,0,1,1,0
33,NhincComponentAuditLog,286,387,374,16,543,0.003,1.127,3.87,23,0,0.529,5,0.129,2122317318,0,0,22,110,264,286,550,988.976,4654.485,7.971,1,1,1,1,0.928571429,1,0.936507937,1,0,0,1,0
34,NhincComponentInternalDocQueryOrch,11,16,12,13,22,0.077,0.923,2,2,0.364,0.667,4,0,11,0,0,1,4,11,10,21,37.974,96.211,3.15,1,1,1,0.94017094,0.835051546,1,0.965635739,0,0,1,1,0
35,NhincComponentInternalSubDiscovery201302Orch,22,33,31,24,47,0.041,1.107,3,3,0.5,0.548,7,0,129,0,0,1,9,29,22,51,83.059,276.485,5.667,0.889,1,0.889,0.871794872,0.825,1,0.980555556,1,0,0,0,0
36,NhincComponentInternalSubscriptionOrch,38,48,47,29,68,0.023,1.022,2.5,4,0.273,0.574,6,0,92,0,0,1,13,37,31,68,126.966,388.638,3.923,1,1,1,0.972222222,0.76,0.925925926,0.813333333,1,0,1,1,0
37,NhinUnsubscribe,24,33,29,26,44,0.038,1.036,3,3,0.346,0.586,6,0,45,0,0,1,8,22,23,45,74.242,233.384,3.971,0.941,1,0.941,1,0.6875,1,0.722222222,1,0,0,1,0
38,NotifyCustomerService,4,5,3,3,6,0.25,0.75,0,0,1,1,1,0,4,0,0,1,1,2,2,4,2,7.925,1,1,1,1,1,0.8125,1,0.833333333,0,0,0,1,0
39,Ordering,23,33,31,21,44,0.038,1.069,3,3,0.296,0.419,7,0,70,0,0,1,7,21,23,44,35.219,193.588,4.4,0.9,1,0.9,1,0.68,1,0.715555556,1,1,0,1,0
40,Parts,7,11,9,8,14,0.125,1,3,3,0.714,0.333,2,0,9,0,0,1,1,7,5,12,12.755,44.918,4.5,1,1,1,0.904761905,0.814814815,1,0.979423868,0,0,0,0,0
41,PartsDataService,24,61,30,6,75,0.046,1.154,7,7,0,0.6,3,0,1512,0,0,6,6,22,24,46,28.755,287.133,8.625,0.75,1,0.75,0.904761905,0.814814815,1,0.979423868,1,0,0,0,0
42,POService,12,20,18,12,28,0.075,1.125,3.5,4,0.357,0.333,3,0.5,46,0,0,1,1,10,12,22,24.406,99.658,4.714,1,1,1,1,0.923076923,1,0.931623932,1,1,0,1,0
43,QuoteProcess,22,43,27,24,53,0.042,1.038,3,3,0.125,0.593,6,0.5,53,0,2,1,4,20,17,34,36.529,203.524,7.556,0.667,1,0.857,1,0.96,1,0.964444444,1,1,0,1,0
44,RetrieveUpdateCatalog,6,11,11,8,16,0.122,1.1,3,3,0,0.091,3,0.5,32,0,2,1,0,3,3,6,10,28.435,6,1,1,1,1,0.833333333,1,0.851851852,0,0,0,1,0
45,riskAssessment,9,15,15,8,19,0.096,1.154,3.5,4,0.182,0.067,4,0,28,0,0,1,0,4,5,9,9.51,38.774,4.5,1,1,1,0.918518519,0.787878788,0.805555556,0.826038159,0,0,0,1,0
